,Name,Cat,Last_Price,chg_1d,chg_1m,chg_1q,chg_1y,forward_PE,EPS_growth,Px_vs_10d,Px_vs_20d,Px_vs_100d,Px_vs_200d
KRE,Regional Banks,USA Sectors,66.56,2.00%,3.60%,5.60%,13.20%,0,,0.60%,0.60%,5.80%,11.30%
XSW,Software & Services,USA Sectors,187.37,2.00%,-1.10%,-6.00%,-0.80%,0,,-1.20%,-1.70%,-2.50%,1.60%
KIE,Insurance,USA Sectors,60.57,1.80%,3.30%,1.30%,8.90%,0,,0.00%,0.90%,3.50%,4.40%
XRT,Retail,USA Sectors,86.94,1.20%,1.90%,0.10%,10.20%,0,,0.40%,0.10%,2.90%,9.50%
GNR,Natural Resources,USA Sectors,63.91,1.00%,5.30%,8.90%,32.40%,0,,2.30%,3.70%,9.00%,15.30%
XSD,Semiconductor,USA Sectors,338.28,0.90%,0.30%,2.60%,36.60%,0,,2.70%,2.20%,6.10%,23.30%
XTL,Telecom,USA Sectors,157.54,0.70%,6.70%,7.80%,49.00%,0,,1.70%,2.90%,9.70%,25.90%
XHB,Homebuilders,USA Sectors,105.23,0.70%,-3.80%,-6.00%,1.50%,0,,0.70%,-0.30%,-3.20%,1.90%
GXC,China,USA Sectors,100.73,0.70%,2.80%,-3.70%,36.10%,0,,2.40%,2.80%,1.40%,9.60%
XPH,Pharmaceuticals,USA Sectors,55.03,-0.30%,1.90%,12.50%,29.30%,0,,-2.50%,-1.90%,9.90%,21.10%
XOP,Oil Production,USA Sectors,127.5,-1.10%,-5.90%,-3.60%,-1.20%,-12750,,0.90%,-0.70%,-0.90%,2.10%
,,,,,,,,,,,,,
RSPF,Financials,Equal Weight Sectors,80.35,2.50%,5.10%,3.40%,12.80%,0,,1.30%,2.20%,4.80%,7.90%
RSPG,Growth,Equal Weight Sectors,82.46,1.50%,-0.50%,4.80%,10.90%,0,,3.40%,2.60%,5.30%,8.90%
RSPN,Industrials,Equal Weight Sectors,58.18,1.40%,3.30%,3.50%,17.00%,0,,1.40%,2.00%,4.20%,8.60%
RSPH,Health-Care Services,Equal Weight Sectors,32.46,1.40%,1.90%,6.80%,11.60%,0,,1.20%,1.80%,6.80%,10.20%
RSPM,Materials,Equal Weight Sectors,35,0.90%,5.50%,6.60%,9.80%,0,,1.80%,3.40%,6.70%,8.90%
RSP,S&P 500 Equal-Weight,Equal Weight Sectors,194.65,0.90%,2.00%,2.20%,13.00%,0,,0.70%,1.10%,3.30%,7.30%
RSPD,Consumer Discretionary,Equal Weight Sectors,57.81,0.80%,1.90%,0.00%,9.50%,0,,0.10%,0.50%,1.60%,6.60%
RSPT,Technology,Equal Weight Sectors,46.1,0.70%,0.70%,2.10%,23.70%,0,,-0.10%,-0.10%,3.90%,12.50%
RSPC,Aerospace & Defence,Equal Weight Sectors,39.7,0.20%,3.20%,-1.50%,18.00%,0,,-0.10%,0.40%,1.30%,6.10%
RSPR,Retail,Equal Weight Sectors,33.62,-0.10%,0.30%,-4.60%,-1.90%,0,,0.10%,0.70%,-1.80%,-1.90%
RSPS,Consumer Staples,Equal Weight Sectors,28.86,-0.80%,-1.20%,-1.00%,-1.40%,0,,-1.00%,-1.60%,-1.40%,-2.10%
RSPU,Utilities,Equal Weight Sectors,74.62,-1.30%,-1.20%,-3.20%,16.60%,0,,-0.20%,0.00%,-1.40%,2.70%
,,,,,,,,,,,,,
BLOK,Crypto Related,Thematics,62.49,5.50%,1.40%,-10.50%,45.70%,0,,5.80%,4.70%,-1.10%,11.80%
GBTC,Bitcoin Trust,Thematics,73.61,5.00%,1.20%,-23.60%,-0.60%,0,,6.40%,6.00%,-10.20%,-9.60%
COPX,Copper Miners,Thematics,76.65,4.90%,16.30%,26.60%,106.60%,0,,6.00%,10.20%,30.60%,54.70%
BUZZ,Social Sentiment,Thematics,34.24,2.80%,0.80%,-8.30%,37.60%,0,,2.50%,2.00%,-0.80%,11.10%
JETS,Airlines,Thematics,29.01,2.50%,7.80%,17.10%,15.40%,0,,2.00%,3.00%,12.60%,21.40%
PBW,Clean Energy,Thematics,33.18,2.50%,7.40%,5.00%,67.30%,0,,4.00%,4.70%,11.30%,36.60%
BOTZ,Robots & AI,Thematics,37.61,2.50%,6.40%,2.80%,18.50%,0,,2.90%,3.50%,6.20%,14.00%
IPAY,Mobile Payment,Thematics,52.82,2.40%,2.00%,-8.40%,-8.20%,0,,0.40%,0.90%,-4.30%,-4.80%
FFTY,IBD 50,Thematics,35.53,1.90%,2.80%,-5.10%,25.90%,0,,0.50%,2.00%,-1.30%,8.50%
USO,United States Oil,Thematics,70.22,1.80%,-0.60%,-2.10%,-7.00%,0,,1.10%,1.40%,-2.20%,-2.40%
ROBO,Robotics & Automation,Thematics,72,1.80%,4.70%,6.60%,28.50%,0,,3.00%,3.00%,7.70%,17.40%
IBUY,Online Retail,Thematics,75.78,1.80%,2.60%,-1.10%,17.20%,0,,0.80%,0.80%,1.80%,8.10%
SLX,Steel,Thematics,87.47,1.20%,6.40%,19.50%,52.00%,0,,2.40%,4.10%,15.60%,25.90%
WCLD,Cloud Computing,Thematics,34.26,1.20%,-1.70%,-2.50%,-8.70%,0,,-2.70%,-3.00%,-2.30%,-1.40%
PAVE,Global Infrastructure,Thematics,49.44,1.20%,2.60%,3.80%,23.50%,0,,1.60%,1.90%,4.70%,11.90%
CIBR,Cyber Security,Thematics,71.53,1.20%,-3.40%,-6.50%,13.20%,0,,-1.20%,-2.20%,-3.80%,-0.60%
DRIV,Automation & EV,Thematics,30.8,1.10%,3.80%,5.50%,35.80%,0,,2.30%,2.80%,8.40%,21.60%
SPYV,S&P 500 Value,Thematics,57.53,1.00%,1.60%,3.90%,14.60%,0,,0.70%,1.10%,4.00%,8.90%
QQQE,QQQ Equal-Weight,Thematics,103.38,1.00%,-0.30%,0.80%,15.80%,0,,0.10%,0.20%,2.30%,6.80%
PEJ,Entertainment,Thematics,61.85,0.70%,3.80%,3.30%,18.80%,0,,0.10%,1.00%,3.90%,10.10%
SPYG,S&P 500 Growth,Thematics,107.16,0.40%,0.30%,2.40%,22.60%,0,,-0.20%,0.30%,2.70%,11.10%
MOO,Agribusiness,Thematics,73.93,0.30%,2.90%,2.50%,17.40%,0,,1.30%,2.10%,3.30%,4.90%
FXI,China Large-Cap,Thematics,39.93,0.30%,2.90%,-2.50%,34.50%,0,,2.80%,3.20%,1.60%,7.20%
BOAT,Global Shipping,Thematics,31.42,-0.30%,-1.20%,2.90%,22.20%,0,,-0.10%,-0.50%,1.70%,9.10%
PBJ,Food & Beverage,Thematics,44.35,-0.80%,-1.60%,-3.30%,-2.90%,0,,-1.50%,-1.50%,-2.40%,-3.60%
FCG,Natural Gas,Thematics,23.27,-2.40%,-6.50%,-0.90%,-2.90%,0,,-0.40%,-1.80%,0.20%,1.90%
